epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.837,2.08588,3.47976,1.99316,0.088,0.1,0.0305,0.01048,1.86607,8.01611,1.82017,0.00014,0.00014,0.00014
2,577.168,1.68974,2.42395,1.67369,0.39181,0.3,0.26192,0.12564,1.94219,6.1219,1.97619,0.00029406,0.00029406,0.00029406
3,866.084,1.58368,2.01097,1.58306,0.38571,0.35,0.34048,0.1954,1.98428,3.90018,1.95722,0.000441784,0.000441784,0.000441784
4,1207.06,1.59913,1.86685,1.57405,0.21504,0.2,0.12148,0.06399,2.14637,4.24794,2.51617,0.000583172,0.000583172,0.000583172
5,1582.64,1.56118,1.70278,1.57925,0.11238,0.25,0.07496,0.02596,2.40881,10.8474,2.66183,0.000718224,0.000718224,0.000718224
6,1922.85,1.61563,1.76379,1.57863,0.10086,0.25,0.16613,0.07493,2.48492,12.4699,3.09558,0.00084694,0.00084694,0.00084694
7,2214.71,1.52247,1.64915,1.51025,0.10576,0.4,0.06893,0.02251,2.5731,11.2801,2.67993,0.00096932,0.00096932,0.00096932
8,2509.93,1.56662,1.71246,1.57371,0.16607,0.35,0.15286,0.04472,2.4997,9.43407,3.49403,0.00108536,0.00108536,0.00108536
9,2855.39,1.51452,1.65077,1.49386,0.09998,0.25,0.07193,0.01705,2.67852,6.83239,3.18981,0.00119507,0.00119507,0.00119507
10,3245.5,1.46535,1.66805,1.5068,0.41346,0.2,0.20452,0.08275,2.41233,6.39111,2.87603,0.00129844,0.00129844,0.00129844
11,3651.39,1.5557,1.64352,1.57413,0.18244,0.2,0.09789,0.02176,2.90147,7.69569,2.99661,0.00139548,0.00139548,0.00139548
12,4053.41,1.49462,1.55147,1.52868,0.15033,0.35,0.11779,0.04414,2.46815,10.0818,2.7695,0.00148618,0.00148618,0.00148618
13,4465.17,1.5616,1.49623,1.50819,0.14233,0.25,0.12087,0.02836,2.71014,11.4807,3.25755,0.0015248,0.0015248,0.0015248
14,4801.61,1.45345,1.4386,1.48128,0.0769,0.2,0.04991,0.0175,2.74764,10.2477,2.60308,0.0014852,0.0014852,0.0014852
15,5106.44,1.38125,1.39685,1.46105,0.10193,0.15,0.05245,0.02488,2.72381,9.73905,2.85124,0.0014456,0.0014456,0.0014456
16,5394.09,1.35182,1.31474,1.42055,0.24871,0.18286,0.13924,0.06749,2.77738,7.93399,2.93314,0.001406,0.001406,0.001406
17,5665.04,1.40451,1.27971,1.43562,0.11633,0.3,0.12621,0.04985,2.36821,5.92999,2.2369,0.0013664,0.0013664,0.0013664
18,5949.18,1.39481,1.25825,1.41932,0.12094,0.25,0.10493,0.05349,2.25817,5.54151,2.14341,0.0013268,0.0013268,0.0013268
19,6339.99,1.27734,1.26759,1.43332,0.25316,0.2,0.08146,0.04101,2.56728,4.06565,2.46723,0.0012872,0.0012872,0.0012872
20,6741.83,1.35558,1.28695,1.42342,0.18239,0.25,0.07771,0.03351,2.84884,5.09888,2.77031,0.0012476,0.0012476,0.0012476
21,7133.54,1.29149,1.19484,1.40103,0.25138,0.35,0.17087,0.08141,2.30462,3.80202,2.274,0.001208,0.001208,0.001208
22,7532.63,1.3009,1.22013,1.39882,0.16324,0.25,0.13324,0.05844,2.69744,4.31993,2.68445,0.0011684,0.0011684,0.0011684
23,7934.01,1.24744,1.07271,1.30171,0.12176,0.2,0.10286,0.03791,2.91633,4.46174,2.94747,0.0011288,0.0011288,0.0011288
24,8321.09,1.26704,1.1184,1.36834,0.25496,0.2,0.16669,0.07425,2.76884,3.22842,2.69672,0.0010892,0.0010892,0.0010892
25,8688.82,1.16883,1.02221,1.31001,0.49571,0.24614,0.2297,0.0971,2.55784,2.81929,2.45405,0.0010496,0.0010496,0.0010496
26,8925.31,1.12757,0.96736,1.26101,0.23631,0.2,0.12867,0.04499,2.57375,3.21696,2.38515,0.00101,0.00101,0.00101
27,9156.92,1.17583,1.05182,1.31699,0.3968,0.2,0.16005,0.0589,2.52389,2.98273,2.41494,0.0009704,0.0009704,0.0009704
28,9402.12,1.14307,0.98561,1.28288,0.61996,0.35,0.36145,0.15169,2.10724,2.56792,2.19778,0.0009308,0.0009308,0.0009308
29,9648.2,1.10353,0.95543,1.2511,0.38166,0.4,0.26682,0.11737,2.26064,2.8239,2.22149,0.0008912,0.0008912,0.0008912
30,9891.66,1.08519,0.91686,1.21684,0.30903,0.3,0.21022,0.08549,2.42473,2.89426,2.33634,0.0008516,0.0008516,0.0008516
31,10106.9,1.04367,0.86838,1.22024,0.33373,0.35,0.22882,0.08766,2.51797,2.59674,2.35771,0.000812,0.000812,0.000812
32,10319.2,0.94298,0.80536,1.14703,0.43182,0.35,0.33245,0.14866,2.09764,2.53368,1.9765,0.0007724,0.0007724,0.0007724
33,10529.1,1.07265,0.99162,1.26503,0.34262,0.45,0.37701,0.15248,2.05716,2.31099,2.00836,0.0007328,0.0007328,0.0007328
34,10741,1.02009,0.85394,1.19708,0.44065,0.4,0.38098,0.1407,2.13741,2.13795,2.1066,0.0006932,0.0006932,0.0006932
35,10971.5,1.01545,0.85093,1.18293,0.69856,0.3,0.39237,0.12482,2.27363,2.46692,2.18142,0.0006536,0.0006536,0.0006536
36,11202,0.90999,0.78709,1.12406,0.63405,0.3,0.28531,0.08504,2.28459,2.90914,2.24091,0.000614,0.000614,0.000614
37,11424.9,0.97755,0.80013,1.15931,0.51869,0.3,0.24843,0.10544,2.16365,3.07672,1.96144,0.0005744,0.0005744,0.0005744
38,11649.1,0.94854,0.76925,1.13028,0.74608,0.29452,0.38189,0.15973,2.25456,2.36566,1.9903,0.0005348,0.0005348,0.0005348
39,11878,0.89035,0.77088,1.15087,0.49111,0.4,0.3536,0.14099,2.41552,2.2767,2.1523,0.0004952,0.0004952,0.0004952
40,12109.1,0.8704,0.68139,1.08802,0.59086,0.3,0.35048,0.1303,2.45608,2.20051,2.18667,0.0004556,0.0004556,0.0004556
41,12372.9,0.8921,0.73457,1.13869,0.6918,0.4,0.42686,0.19279,2.36681,2.10856,2.24847,0.000416,0.000416,0.000416
42,12648.8,0.78052,0.6295,1.06263,0.6978,0.4,0.46957,0.21222,2.21807,2.20618,2.24127,0.0003764,0.0003764,0.0003764
43,12934.7,0.77169,0.60414,1.04477,0.83978,0.35,0.4467,0.24089,2.12812,1.94155,2.20287,0.0003368,0.0003368,0.0003368
44,13278.3,0.7079,0.56424,1.01233,0.74067,0.35,0.44312,0.24298,2.12661,1.87603,2.17446,0.0002972,0.0002972,0.0002972
45,13628.3,0.71002,0.56313,1.03346,0.5684,0.45,0.46829,0.20356,2.14363,1.76334,2.1958,0.0002576,0.0002576,0.0002576
46,13977.1,0.65109,0.5461,0.99933,0.6036,0.4,0.4334,0.18329,2.26799,1.89531,2.32575,0.000218,0.000218,0.000218
47,14329.6,0.69884,0.52582,1.02338,0.65254,0.4,0.39449,0.15804,2.25112,2.11432,2.28399,0.0001784,0.0001784,0.0001784
48,14690.4,0.61504,0.50098,0.98874,0.71744,0.4,0.45928,0.14419,2.31829,2.14271,2.32782,0.0001388,0.0001388,0.0001388
49,15051,0.62353,0.47732,0.98149,0.65811,0.4,0.45256,0.12896,2.35692,2.13876,2.34014,9.92e-05,9.92e-05,9.92e-05
50,15413,0.55509,0.47099,0.94947,0.65672,0.4,0.46137,0.13275,2.35642,2.23648,2.27896,5.96e-05,5.96e-05,5.96e-05
