epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.038,1.42275,3.68459,2.64727,1.49361,0.32715,0.375,0.24443,0.1206,0.26004,0.29167,0.15673,0.06474,1.44884,4.19914,2.71306,1.76938,0.00012,0.00012,0.00012
2,955.68,1.13131,2.55113,1.81614,1.26956,0.11588,0.18056,0.06589,0.02797,0.12065,0.15278,0.05107,0.01718,1.76597,4.79024,8.30093,1.88727,0.000257426,0.000257426,0.000257426
3,1437.77,1.09602,2.23555,1.53152,1.2063,0.18491,0.22222,0.10167,0.04149,0.10675,0.18056,0.0478,0.01418,1.77996,5.33799,4.94089,2.01153,0.00039208,0.00039208,0.00039208
4,1911.43,1.03481,2.21208,1.4655,1.21803,0.42401,0.18056,0.14353,0.06037,0.18603,0.16667,0.09498,0.02406,1.7821,5.0884,4.15176,2.01112,0.000523962,0.000523962,0.000523962
5,2388.83,1.02551,2.10907,1.32889,1.19538,0.19409,0.18056,0.08127,0.03102,0.11888,0.125,0.02666,0.00711,1.93217,6.32967,4.09219,2.1162,0.000653072,0.000653072,0.000653072
6,2858.73,1.1482,2.31139,1.33183,1.25279,0.15063,0.27778,0.08077,0.03413,0.11918,0.19444,0.04537,0.01821,2.13133,7.92235,6.15691,2.26906,0.00077941,0.00077941,0.00077941
7,3328.01,1.12194,2.20522,1.29274,1.23167,0.15215,0.18056,0.06668,0.02542,0.12874,0.15278,0.03603,0.0132,2.41763,10.9795,6.33982,2.62657,0.000902976,0.000902976,0.000902976
8,3875.83,1.13802,2.19176,1.20333,1.2571,0.22318,0.1876,0.11779,0.04276,0.15345,0.125,0.04369,0.01726,2.15594,8.56272,4.62921,2.50606,0.00102377,0.00102377,0.00102377
9,4357.3,1.09648,1.9915,1.15667,1.2234,0.1374,0.26389,0.07098,0.02373,0.06063,0.27778,0.02511,0.00876,2.18129,10.0453,7.4074,2.48903,0.00114179,0.00114179,0.00114179
10,4821.02,1.21037,2.17474,1.24101,1.29392,0.18125,0.34722,0.10765,0.04028,0.09929,0.19444,0.03387,0.009,2.05617,11.6059,5.26933,2.2833,0.00125704,0.00125704,0.00125704
11,5221.34,1.09577,2.09245,1.14818,1.21504,0.26568,0.19444,0.13305,0.04153,0.20816,0.15278,0.07117,0.01848,2.28505,10.3326,5.2896,2.66774,0.00136952,0.00136952,0.00136952
12,5527.24,1.06635,1.9995,1.09208,1.21789,0.14263,0.15278,0.08067,0.03054,0.06461,0.06944,0.02916,0.0113,2.56053,13.8512,5.60235,2.81679,0.00147923,0.00147923,0.00147923
13,5854.25,1.11749,1.99418,1.0868,1.21395,0.15606,0.19444,0.098,0.0412,0.10033,0.125,0.04571,0.01748,2.37453,11.425,5.53819,2.65862,0.00158616,0.00158616,0.00158616
14,6194.34,1.13186,2.05662,1.11238,1.20004,0.11319,0.19444,0.07611,0.02826,0.16214,0.125,0.0465,0.01302,2.16962,10.2073,4.61662,2.56053,0.00169032,0.00169032,0.00169032
15,6489.13,1.1141,1.91487,1.04195,1.19966,0.13517,0.22222,0.05335,0.01916,0.11827,0.19444,0.03785,0.01051,2.30545,13.5814,7.24055,2.50962,0.0017228,0.0017228,0.0017228
16,6752.31,1.11133,1.941,0.96055,1.16891,0.1776,0.15278,0.07522,0.02456,0.12366,0.11111,0.03277,0.00829,2.31965,13.2809,6.42219,2.65103,0.001703,0.001703,0.001703
17,7014.18,1.09094,1.88354,1.04042,1.15838,0.12635,0.25915,0.07475,0.02739,0.07852,0.16667,0.03237,0.00892,2.35887,12.5245,5.08274,2.69491,0.0016832,0.0016832,0.0016832
18,7266.29,1.04556,1.87858,0.96195,1.14393,0.15387,0.18694,0.09497,0.03875,0.08615,0.125,0.04211,0.0142,2.37931,8.98263,5.88612,2.7966,0.0016634,0.0016634,0.0016634
19,7582.17,1.11869,1.94014,1.04648,1.22548,0.24083,0.27778,0.13766,0.05651,0.1182,0.15278,0.03987,0.01264,2.28163,9.95938,3.72609,2.55962,0.0016436,0.0016436,0.0016436
20,7897.85,1.05953,1.84488,0.95895,1.17414,0.14379,0.25,0.11734,0.05218,0.09893,0.18056,0.06945,0.02909,2.11647,9.63813,5.85555,2.36151,0.0016238,0.0016238,0.0016238
21,8215.32,0.99151,1.70883,0.88204,1.15273,0.13217,0.30556,0.10517,0.05841,0.16629,0.11111,0.06544,0.03157,2.06515,8.28954,5.84427,2.31294,0.001604,0.001604,0.001604
22,8527.37,1.03057,1.78844,0.8863,1.13678,0.10636,0.25,0.06711,0.02854,0.15804,0.125,0.04817,0.01718,2.18831,7.62456,4.84439,2.32347,0.0015842,0.0015842,0.0015842
23,8842.94,1.01048,1.80052,0.90882,1.10969,0.16139,0.18056,0.07683,0.02268,0.10856,0.11111,0.04305,0.01482,2.28636,7.85979,5.94622,2.44514,0.0015644,0.0015644,0.0015644
24,9157.94,0.99745,1.76769,0.93544,1.11365,0.17877,0.20833,0.08288,0.03176,0.08945,0.22222,0.04265,0.01614,2.15756,6.92558,3.97175,2.34258,0.0015446,0.0015446,0.0015446
25,9471.77,0.95229,1.72268,0.83182,1.08976,0.30464,0.22222,0.15512,0.05174,0.12436,0.22222,0.05919,0.01867,2.08789,6.66392,3.41154,2.39482,0.0015248,0.0015248,0.0015248
26,9784.48,0.95168,1.74381,0.84099,1.1276,0.26677,0.18056,0.14263,0.05297,0.18417,0.125,0.05638,0.01784,2.1284,6.61846,3.44803,2.44722,0.001505,0.001505,0.001505
27,10074.5,0.94249,1.70428,0.8207,1.09856,0.23579,0.22222,0.09452,0.04774,0.16682,0.15019,0.05535,0.01494,2.16231,6.42085,3.53636,2.41869,0.0014852,0.0014852,0.0014852
28,10320.3,0.91433,1.59128,0.80892,1.05703,0.10376,0.18056,0.06051,0.02659,0.05836,0.19444,0.02921,0.00894,2.17906,5.94052,3.9181,2.31499,0.0014654,0.0014654,0.0014654
29,10607.1,0.92406,1.67063,0.79877,1.1091,0.10641,0.22222,0.05335,0.02423,0.07273,0.15278,0.02758,0.0089,2.31591,6.46316,3.99365,2.37101,0.0014456,0.0014456,0.0014456
30,10857.2,0.9368,1.64008,0.81542,1.08714,0.14263,0.13889,0.0819,0.0265,0.07588,0.09722,0.02793,0.00865,2.31687,6.90817,4.02834,2.45966,0.0014258,0.0014258,0.0014258
31,11101.8,0.85867,1.4708,0.76029,1.0799,0.14513,0.19444,0.0943,0.02912,0.19868,0.05556,0.02913,0.0094,2.06073,6.51772,4.11716,2.17767,0.001406,0.001406,0.001406
32,11337.9,0.89247,1.48393,0.74218,1.06945,0.22419,0.23611,0.12047,0.04508,0.12529,0.15278,0.04022,0.01259,2.1596,6.94621,3.60841,2.27446,0.0013862,0.0013862,0.0013862
33,11575.9,0.87484,1.42322,0.72215,1.05268,0.27768,0.27778,0.15104,0.05989,0.16622,0.16667,0.07771,0.01754,2.13645,7.18402,3.28082,2.26929,0.0013664,0.0013664,0.0013664
34,11831,0.85886,1.45192,0.7051,1.06455,0.24586,0.27778,0.16961,0.07267,0.14286,0.16667,0.08467,0.0357,2.2041,8.44866,3.13242,2.41653,0.0013466,0.0013466,0.0013466
35,12067.1,0.85908,1.57954,0.71272,1.06902,0.26936,0.23611,0.15335,0.06874,0.17429,0.15278,0.08529,0.04066,2.20326,7.87521,3.35659,2.39556,0.0013268,0.0013268,0.0013268
36,12309.6,0.85442,1.38966,0.68323,1.04343,0.27664,0.20833,0.12861,0.06352,0.2657,0.11111,0.07305,0.03423,2.16309,6.17444,3.49387,2.38263,0.001307,0.001307,0.001307
37,12553.1,0.82073,1.38997,0.66855,1.03109,0.24566,0.22222,0.1359,0.06311,0.15769,0.125,0.05934,0.02952,2.02223,6.12431,3.70783,2.23571,0.0012872,0.0012872,0.0012872
38,12795.3,0.82547,1.35216,0.70093,1.04953,0.32455,0.18056,0.1422,0.06007,0.1793,0.09722,0.05587,0.02733,2.08645,5.9189,3.69219,2.31169,0.0012674,0.0012674,0.0012674
39,13037.7,0.77343,1.27099,0.62924,1.00652,0.35091,0.13889,0.11456,0.05358,0.19673,0.08333,0.06461,0.0295,2.23449,5.91289,3.6602,2.53093,0.0012476,0.0012476,0.0012476
40,13280.3,0.79761,1.32317,0.66241,1.01599,0.21921,0.21451,0.09063,0.0338,0.14182,0.11111,0.04089,0.01315,2.18913,6.01201,3.81767,2.46068,0.0012278,0.0012278,0.0012278
41,13522.8,0.80646,1.28884,0.67406,1.03438,0.22331,0.22222,0.09503,0.04042,0.10969,0.15278,0.04298,0.01388,2.17545,5.90036,3.60658,2.37226,0.001208,0.001208,0.001208
42,13773.7,0.83896,1.35934,0.68309,1.05091,0.24455,0.25,0.13177,0.06685,0.17088,0.125,0.04995,0.01829,2.00766,5.66606,3.46777,2.21264,0.0011882,0.0011882,0.0011882
43,14007.1,0.77889,1.3678,0.63225,1.02851,0.21149,0.22222,0.12008,0.06773,0.17548,0.11111,0.05686,0.02538,1.92659,6.09449,3.71261,2.01922,0.0011684,0.0011684,0.0011684
44,14244.7,0.75537,1.24815,0.59372,0.9836,0.33799,0.20833,0.13968,0.07316,0.19506,0.13889,0.07925,0.03352,1.96232,6.62235,3.75278,2.02968,0.0011486,0.0011486,0.0011486
45,14486.6,0.7921,1.29871,0.61397,1.00107,0.3003,0.22222,0.1279,0.0677,0.1666,0.125,0.07401,0.03502,1.94152,6.49454,3.58769,2.01743,0.0011288,0.0011288,0.0011288
46,14727.7,0.75724,1.29483,0.62513,1.00725,0.16063,0.20833,0.07944,0.04136,0.18266,0.06944,0.04997,0.02514,1.99922,6.03939,3.84904,1.97456,0.001109,0.001109,0.001109
47,14961.9,0.71358,1.22609,0.57002,0.98357,0.22483,0.25785,0.1067,0.04731,0.15128,0.13889,0.04691,0.01706,1.96667,5.79102,3.77063,2.00698,0.0010892,0.0010892,0.0010892
48,15189.6,0.73184,1.14665,0.57397,0.99501,0.36453,0.16667,0.16223,0.08208,0.17317,0.16667,0.08115,0.02963,1.92847,5.47486,3.56094,1.99307,0.0010694,0.0010694,0.0010694
49,15415.9,0.70916,1.18554,0.58044,0.9897,0.35541,0.22222,0.18432,0.09678,0.21984,0.15278,0.09437,0.03963,1.93655,5.52637,3.47334,1.98302,0.0010496,0.0010496,0.0010496
50,15702.2,0.73734,1.18895,0.57824,0.99385,0.52199,0.15278,0.15888,0.09047,0.11407,0.13889,0.07511,0.03499,1.92595,5.84586,3.59512,2.04489,0.0010298,0.0010298,0.0010298
51,16048.5,0.69818,1.2145,0.5769,0.99801,0.3242,0.16667,0.15378,0.07961,0.13674,0.08333,0.07239,0.0238,1.96822,6.15921,3.85875,2.15769,0.00101,0.00101,0.00101
52,16336.9,0.72226,1.18269,0.56119,0.97817,0.29722,0.15278,0.15517,0.07442,0.09399,0.125,0.05551,0.02424,1.91384,6.21829,3.77885,2.11619,0.0009902,0.0009902,0.0009902
53,16706.7,0.71546,1.17517,0.58258,0.98173,0.31336,0.16667,0.15418,0.07749,0.1335,0.16667,0.07771,0.02823,1.95426,6.06908,3.58103,2.16717,0.0009704,0.0009704,0.0009704
54,17031.3,0.70272,1.21071,0.57548,0.99713,0.28357,0.19444,0.14632,0.06144,0.15281,0.13889,0.05624,0.02375,2.06769,5.65646,3.35106,2.27079,0.0009506,0.0009506,0.0009506
55,17344.5,0.68818,1.13133,0.5616,0.97798,0.38601,0.18056,0.14578,0.06872,0.22444,0.09722,0.06881,0.03336,2.06496,5.22899,3.22691,2.35582,0.0009308,0.0009308,0.0009308
56,17753.9,0.68921,1.16214,0.54282,0.96278,0.26146,0.16667,0.12276,0.06596,0.26845,0.08333,0.06976,0.02731,1.90368,5.2827,3.529,2.14718,0.000911,0.000911,0.000911
57,18163,0.7146,1.20277,0.5704,0.99695,0.28063,0.13889,0.12645,0.07474,0.29227,0.08333,0.07383,0.02853,1.96538,5.52078,3.58487,2.14954,0.0008912,0.0008912,0.0008912
58,18582.9,0.68722,1.07164,0.52062,0.96806,0.31867,0.22222,0.15831,0.08191,0.1783,0.13889,0.08667,0.03634,1.88789,5.94858,3.41178,2.08143,0.0008714,0.0008714,0.0008714
59,18986.6,0.68169,1.15613,0.5233,0.98919,0.32634,0.20833,0.16142,0.08478,0.20584,0.13889,0.08183,0.04085,1.91705,7.11091,3.50142,2.11764,0.0008516,0.0008516,0.0008516
60,19415.7,0.67328,1.08586,0.51163,0.97267,0.63338,0.15278,0.16063,0.0781,0.34532,0.08333,0.06808,0.03819,1.95902,7.2151,3.87185,2.1986,0.0008318,0.0008318,0.0008318
61,19862.8,0.71365,1.17392,0.55771,0.97392,0.57725,0.15278,0.1589,0.07843,0.31449,0.08333,0.06091,0.03695,1.89973,7.16427,3.90836,2.16021,0.000812,0.000812,0.000812
62,20239.5,0.64118,1.13034,0.52275,0.95834,0.51069,0.15278,0.15989,0.09339,0.4142,0.09722,0.08801,0.0445,1.88886,6.85301,3.82386,2.19356,0.0007922,0.0007922,0.0007922
63,20770.2,0.68735,1.09524,0.51791,0.96635,0.6616,0.15278,0.18368,0.1036,0.45103,0.11111,0.09709,0.04816,1.94884,6.34909,3.72065,2.16883,0.0007724,0.0007724,0.0007724
64,21232.8,0.65701,1.06028,0.51647,0.97145,0.58665,0.16667,0.19007,0.09793,0.34073,0.08333,0.07815,0.04593,1.93261,5.997,3.72187,2.1191,0.0007526,0.0007526,0.0007526
65,21602.4,0.64454,1.11298,0.49767,0.95938,0.53692,0.13889,0.17056,0.09145,0.31984,0.08333,0.08338,0.04469,1.90713,5.87682,3.64046,2.11284,0.0007328,0.0007328,0.0007328
66,21948,0.65938,1.06241,0.50151,0.96177,0.5085,0.15278,0.17032,0.08937,0.34574,0.08333,0.0777,0.04088,1.90963,5.52284,3.45694,2.121,0.000713,0.000713,0.000713
67,22262.5,0.64015,1.08304,0.49574,0.95439,0.35416,0.18056,0.16375,0.09496,0.13511,0.13889,0.0793,0.03949,1.90486,5.03841,3.46069,2.1105,0.0006932,0.0006932,0.0006932
68,22632.4,0.59874,1.0458,0.45935,0.94654,0.48829,0.15278,0.15861,0.08693,0.34003,0.09722,0.08759,0.03829,1.90203,5.24557,3.73917,2.05712,0.0006734,0.0006734,0.0006734
69,23025.4,0.62243,1.09131,0.47222,0.96581,0.40625,0.18056,0.16153,0.09081,0.25632,0.09722,0.08438,0.04196,1.93985,5.3901,3.83885,2.08935,0.0006536,0.0006536,0.0006536
70,23444.1,0.6381,1.00397,0.47179,0.94956,0.80108,0.13889,0.16871,0.0923,0.17465,0.08333,0.06977,0.04348,1.99191,5.73698,3.75381,2.15876,0.0006338,0.0006338,0.0006338
71,23918.7,0.57392,0.94416,0.44583,0.93835,0.546,0.15278,0.16163,0.08714,0.29699,0.08333,0.07489,0.04429,1.97194,5.72124,3.68738,2.15717,0.000614,0.000614,0.000614
72,24390.3,0.5985,0.98476,0.46463,0.95824,0.56673,0.15278,0.18035,0.08596,0.12776,0.09722,0.06592,0.04083,1.95791,5.64608,3.64785,2.233,0.0005942,0.0005942,0.0005942
73,24855.7,0.60552,0.98665,0.46491,0.94061,0.51782,0.16416,0.18574,0.08696,0.15514,0.13889,0.07181,0.04202,2.00934,5.65032,3.60757,2.29481,0.0005744,0.0005744,0.0005744
74,25335.2,0.61631,1.02153,0.46084,0.93945,0.49989,0.18048,0.17382,0.08787,0.18283,0.125,0.08475,0.0453,1.98259,5.88764,3.62876,2.218,0.0005546,0.0005546,0.0005546
75,25819.1,0.60101,0.97803,0.45225,0.96258,0.36878,0.20833,0.1773,0.08574,0.23731,0.13889,0.08998,0.04673,1.92539,6.09331,3.5988,2.19025,0.0005348,0.0005348,0.0005348
76,26245.2,0.5795,0.95289,0.44969,0.93499,0.64941,0.18011,0.19326,0.09629,0.3136,0.13889,0.10824,0.05449,1.89233,5.90417,3.66888,2.16138,0.000515,0.000515,0.000515
77,26592.3,0.58358,0.95688,0.43447,0.93931,0.65279,0.16667,0.18778,0.09524,0.24609,0.13889,0.10655,0.05245,1.8811,5.85883,3.70709,2.15613,0.0004952,0.0004952,0.0004952
78,26937.4,0.58413,0.92385,0.44562,0.93083,0.56295,0.17896,0.18892,0.09498,0.36604,0.125,0.10049,0.04925,1.86939,5.74658,3.60985,2.15591,0.0004754,0.0004754,0.0004754
79,27267,0.58618,0.98541,0.45521,0.93615,0.3974,0.19444,0.19372,0.10241,0.27233,0.13889,0.10733,0.05252,1.87665,5.547,3.58262,2.14925,0.0004556,0.0004556,0.0004556
80,27608.9,0.568,0.95878,0.42975,0.93143,0.45132,0.2057,0.18908,0.10242,0.32957,0.15278,0.10601,0.05233,1.77917,5.32863,3.56045,2.05262,0.0004358,0.0004358,0.0004358
81,27947.1,0.54537,0.94774,0.4285,0.92406,0.3805,0.19444,0.17914,0.09984,0.24609,0.13889,0.09404,0.05143,1.74066,5.31047,3.57034,2.00655,0.000416,0.000416,0.000416
82,28272.4,0.55289,0.9535,0.44361,0.93801,0.57506,0.15278,0.15736,0.09388,0.21467,0.16667,0.11211,0.05404,1.74808,5.21987,3.58468,2.01309,0.0003962,0.0003962,0.0003962
83,28592.9,0.57627,0.92774,0.43305,0.94903,0.65866,0.15278,0.17186,0.08735,0.25752,0.09722,0.09086,0.04727,1.78703,5.44788,3.75882,2.00578,0.0003764,0.0003764,0.0003764
